ID_Transaction,Order_date,ID_Customer,Product,Brand,Harga,Kuantitas,Harga_Total,Total_Diskon,Total_Sales,Biaya_Ongkir,Grand_Total
TX-000041,2022-02-10 09:53,C01907,Kertas HVS A4 70gsm 500lbr,Flowline,62000,5,310000,0,310000,31131,341131
TX-000042,2022-02-11 09:53,C01908,Kertas HVS A4 70gsm 500lbr,Lumo,62000,3,186000,0,186000,15243,201243
TX-000043,2022-02-12 09:53,C01909,Binder A5,Officeo,28000,3,84000,8400,75600,33546,109146
TX-000044,2022-02-13 09:53,C01910,Pulpen Pilot 0.5,Statvio,12000,2,24000,1680,22320,69167,91487
TX-000045,2022-02-14 09:53,C01911,Penghapus kecil,NexWrite,3000,1,3000,600,2400,26059,28459
TX-000046,2022-02-15 09:53,C01912,Penghapus kecil,Vectro,3000,4,12000,1200,10800,51359,62159
TX-000047,2022-02-16 09:53,C01913,Buku Tulis Sidu 38L,Inklite,4500,5,22500,1125,21375,0,21375
TX-000048,2022-02-17 09:53,C01914,Kalkulator Casio,Papermark,175000,3,525000,157500,367500,0,367500
TX-000049,2022-02-18 09:53,C01915,Pensil 2B,Officeo,5000,5,25000,0,25000,39977,64977
TX-000050,2022-02-19 09:53,C01916,Stabilo Highlighter,Markify,15000,5,75000,0,75000,32260,107260
TX-000051,2022-02-20 09:53,C01917,Spidol Snowman,Writex,11000,1,11000,0,11000,8663,19663
TX-000052,2022-02-21 09:53,C01918,Kertas HVS A4 70gsm 500lbr,DraftLab,62000,3,186000,13020,172980,46899,219879
TX-000053,2022-02-22 09:53,C01919,Buku Tulis Sidu 38L,Flowline,4500,1,4500,315,4185,32828,37013
TX-000054,2022-02-23 09:53,C01920,Glue Stick UHU,Lumora,12000,3,36000,2520,33480,0,33480
TX-000055,2022-02-24 09:53,C01921,Binder A5,Scriba,28000,5,140000,0,140000,23509,163509
TX-000056,2022-02-25 09:53,C01922,Buku Tulis Sidu 38L,Inkspire,4500,1,4500,0,4500,35202,39702
TX-000057,2022-02-26 09:53,C01923,Cutter kecil,Papirus,10000,3,30000,0,30000,66892,96892
TX-000058,2022-02-27 09:53,C01924,Stabilo Highlighter,Writex,15000,3,45000,9000,36000,0,36000
TX-000059,2022-02-28 09:53,C01925,Penghapus kecil,Notivo,3000,3,9000,0,9000,0,9000
TX-000060,2022-03-01 09:53,C01926,Binder A5,Flowline,28000,3,84000,0,84000,17254,101254
TX-000061,2022-03-02 09:53,C01927,Kalkulator Casio,Quillo,175000,1,175000,12250,162750,0,162750
TX-000062,2022-03-03 09:53,C01928,Binder A5,Graphen,28000,1,28000,8400,19600,15493,35093
TX-000063,2022-03-04 09:53,C01929,Amplop Coklat F4,Markify,2200,2,4400,0,4400,33126,37526
TX-000064,2022-03-05 09:53,C01930,Buku Tulis Sidu 38L,Graphen,4500,4,18000,0,18000,8885,26885
TX-000065,2022-03-06 09:53,C01931,Binder A5,Artlinez,28000,4,112000,22400,89600,47040,136640
TX-000066,2022-03-07 09:53,C01932,Pensil 2B,Mepen,5000,2,10000,0,10000,68182,78182
TX-000067,2022-03-08 09:53,C01933,Kertas HVS A4 70gsm 500lbr,Artlinez,62000,5,310000,55800,254200,62684,316884
TX-000068,2022-03-09 09:53,C01934,Pensil 2B,Writex,5000,2,10000,0,10000,25754,35754
TX-000069,2022-03-10 09:53,C01935,Paper Clip Joyko,Papermark,7000,2,14000,0,14000,39236,53236
TX-000070,2022-03-11 09:53,C01936,Amplop Coklat F4,Markify,2200,2,4400,880,3520,33936,37456
TX-000071,2022-03-12 09:53,C01937,Map A4,Scriba,7000,5,35000,0,35000,29175,64175
TX-000072,2022-03-13 09:53,C01938,Binder A5,Draftex,28000,1,28000,2800,25200,39380,64580
TX-000073,2022-03-14 09:53,C01939,Map A4,Papirus,7000,1,7000,0,7000,55717,62717
TX-000074,2022-03-15 09:53,C01940,Buku Tulis Sidu 38L,Graphen,4500,1,4500,225,4275,61884,66159
TX-000075,2022-03-16 09:53,C01941,Pulpen Pilot 0.5,DraftLab,12000,2,24000,4800,19200,19411,38611
TX-000076,2022-03-17 09:53,C01942,Glue Stick UHU,Writex,12000,4,48000,0,48000,30881,78881
TX-000077,2022-03-18 09:53,C01943,Amplop Coklat F4,Notivo,2200,3,6600,1320,5280,28141,33421
TX-000078,2022-03-19 09:53,C01944,Kalkulator Casio,Pentagio,175000,4,700000,0,700000,41788,741788
TX-000079,2022-03-20 09:53,C01945,Pensil 2B,Pentagio,5000,2,10000,0,10000,39097,49097
TX-000080,2022-03-21 09:53,C01946,Spidol Snowman,Pensta,11000,2,22000,3300,18700,33113,51813
TX-000081,2022-03-22 09:53,C01947,Pulpen Pilot 0.5,Statvio,12000,5,60000,10800,49200,29716,78916
TX-000082,2022-03-23 09:53,C01948,Glue Stick UHU,Lumo,12000,1,12000,840,11160,8911,20071
TX-000083,2022-03-24 09:53,C01949,Pensil 2B,Vectro,5000,4,20000,0,20000,29739,49739
TX-000084,2022-03-25 09:53,C01950,Glue Stick UHU,Pensta,12000,3,36000,4320,31680,56524,88204
TX-000085,2022-03-26 09:53,C01951,Stabilo Highlighter,DraftLab,15000,3,45000,0,45000,49410,94410
TX-000086,2022-03-27 09:53,C01952,Penghapus kecil,Lumo,3000,3,9000,900,8100,7488,15588
TX-000087,2022-03-28 09:53,C01953,Kertas HVS A4 70gsm 500lbr,NexWrite,62000,4,248000,12400,235600,6034,241634
TX-000088,2022-03-29 09:53,C01954,Penggaris 30cm,Markify,5000,2,10000,1800,8200,19072,27272
TX-000089,2022-03-30 09:53,C01955,Stabilo Highlighter,NexWrite,15000,4,60000,4200,55800,29390,85190
TX-000090,2022-03-31 09:53,C01956,Cutter kecil,Inklite,10000,4,40000,0,40000,29849,69849
TX-000091,2022-04-01 09:53,C01957,Stabilo Highlighter,Writex,15000,3,45000,0,45000,27290,72290
TX-000092,2022-04-02 09:53,C01958,Amplop Putih,Papermark,1200,3,3600,180,3420,0,3420
TX-000093,2022-04-03 09:53,C01959,Buku Tulis Sidu 38L,Papirus,4500,5,22500,0,22500,48596,71096
TX-000094,2022-04-04 09:53,C01960,Pulpen Pilot 0.5,Inkspire,12000,4,48000,2400,45600,65003,110603
TX-000095,2022-04-05 09:53,C01961,Amplop Putih,Pensta,1200,2,2400,480,1920,0,1920
TX-000096,2022-04-06 09:53,C01962,Spidol Snowman,DraftLab,11000,3,33000,1650,31350,0,31350
TX-000097,2022-04-07 09:53,C01963,Binder A5,Draftex,28000,1,28000,2800,25200,57533,82733
TX-000098,2022-04-08 09:53,C01964,Stabilo Highlighter,Lumo,15000,1,15000,0,15000,36262,51262
TX-000099,2022-04-09 09:53,C01965,Penggaris 30cm,Prograph,5000,1,5000,0,5000,0,5000
TX-000100,2022-04-10 09:53,C01966,Amplop Coklat F4,Flowline,2200,2,4400,0,4400,35948,40348
TX-000101,2022-04-11 09:53,C01967,Binder A5,Flowline,28000,4,112000,7840,104160,66889,171049
TX-000102,2022-04-12 09:53,C01968,Spidol Snowman,Lumora,11000,2,22000,0,22000,31201,53201
TX-000103,2022-04-13 09:53,C01969,Stabilo Highlighter,Officeo,15000,3,45000,0,45000,0,45000
TX-000104,2022-04-14 09:53,C01970,Pensil 2B,Papirus,5000,1,5000,0,5000,0,5000
TX-000105,2022-04-15 09:53,C01971,Map A4,Scriba,7000,2,14000,0,14000,21022,35022
TX-000106,2022-04-16 09:53,C01972,Pensil 2B,Lumora,5000,3,15000,0,15000,36511,51511
TX-000107,2022-04-17 09:53,C01973,Spidol Snowman,Writex,11000,2,22000,0,22000,38496,60496
TX-000108,2022-04-18 09:53,C01974,Amplop Putih,Lumora,1200,3,3600,0,3600,25899,29499
TX-000109,2022-04-19 09:53,C01975,Penggaris 30cm,Papirus,5000,3,15000,2700,12300,45015,57315
TX-000110,2022-04-20 09:53,C01976,Kalkulator Casio,NexWrite,175000,4,700000,0,700000,22038,722038
TX-000111,2022-04-21 09:53,C01977,Map A4,Mepen,7000,4,28000,0,28000,63471,91471
TX-000112,2022-04-22 09:53,C01978,Glue Stick UHU,Notivo,12000,1,12000,0,12000,0,12000
TX-000113,2022-04-23 09:53,C01979,Stabilo Highlighter,NexWrite,15000,4,60000,0,60000,30488,90488
TX-000114,2022-04-24 09:53,C01980,Penggaris 30cm,Papermark,5000,2,10000,0,10000,39491,49491
TX-000115,2022-04-25 09:53,C01981,Kertas HVS A4 70gsm 500lbr,Quillo,62000,3,186000,37200,148800,37846,186646
TX-000116,2022-04-26 09:53,C01982,Glue Stick UHU,Artlinez,12000,3,36000,0,36000,0,36000
TX-000117,2022-04-27 09:53,C01983,Kertas HVS A4 70gsm 500lbr,Pensta,62000,5,310000,0,310000,32048,342048
TX-000118,2022-04-28 09:53,C01984,Binder A5,DraftLab,28000,3,84000,0,84000,23969,107969
TX-000119,2022-04-29 09:53,C01985,Penggaris 30cm,Graphen,5000,3,15000,1050,13950,0,13950
TX-000120,2022-04-30 09:53,C01986,Buku Tulis Sidu 38L,Inkspire,4500,1,4500,0,4500,0,4500
TX-000121,2022-05-01 09:53,C01987,Glue Stick UHU,Pentagio,12000,3,36000,3600,32400,20005,52405
TX-000122,2022-05-02 09:53,C01988,Map A4,Flowline,7000,5,35000,2450,32550,47283,79833
TX-000123,2022-05-03 09:53,C01989,Paper Clip Joyko,Vectro,7000,5,35000,0,35000,0,35000
TX-000124,2022-05-04 09:53,C01990,Pulpen Pilot 0.5,Notivo,12000,2,24000,1200,22800,26528,49328
TX-000125,2022-05-05 09:53,C01991,Kertas HVS A4 70gsm 500lbr,Inklite,62000,3,186000,0,186000,0,186000
TX-000126,2022-05-06 09:53,C01992,Map A4,Lumo,7000,1,7000,0,7000,57801,64801
TX-000127,2022-05-07 09:53,C01993,Penggaris 30cm,Notivo,5000,4,20000,0,20000,37177,57177
TX-000128,2022-05-08 09:53,C01994,Pulpen Pilot 0.5,Quillo,12000,1,12000,0,12000,40032,52032
TX-000129,2022-05-09 09:53,C01995,Map A4,Writex,7000,2,14000,0,14000,37366,51366
TX-000130,2022-05-10 09:53,C01996,Pulpen Pilot 0.5,Mepen,12000,5,60000,4200,55800,16701,72501
TX-000131,2022-05-11 09:53,C01997,Stabilo Highlighter,Pensta,15000,3,45000,0,45000,36646,81646
TX-000132,2022-05-12 09:53,C01998,Cutter kecil,Draftex,10000,4,40000,0,40000,0,40000
TX-000133,2022-05-13 09:53,C01999,Paper Clip Joyko,Quillo,7000,5,35000,7000,28000,54648,82648
TX-000134,2022-05-14 09:53,C02000,Cutter kecil,Papermark,10000,2,20000,2400,17600,16464,34064
TX-000135,2022-05-15 09:53,C02001,Kalkulator Casio,Writex,175000,2,350000,17500,332500,43326,375826
TX-000136,2022-05-16 09:53,C02002,Penghapus kecil,DraftLab,3000,5,15000,1050,13950,0,13950
TX-000137,2022-05-17 09:53,C02003,Buku Tulis Sidu 38L,Officeo,4500,2,9000,0,9000,37862,46862
TX-000138,2022-05-18 09:53,C02004,Glue Stick UHU,Inkspire,12000,4,48000,0,48000,30653,78653
TX-000139,2022-05-19 09:53,C02005,Pensil 2B,Statvio,5000,2,10000,1000,9000,61031,70031
TX-000140,2022-05-20 09:53,C02006,Pulpen Pilot 0.5,NexWrite,12000,1,12000,1440,10560,0,10560
TX-000141,2022-05-21 09:53,C02007,Glue Stick UHU,Lumora,12000,2,24000,1680,22320,21841,44161
TX-000142,2022-05-22 09:53,C02008,Spidol Snowman,Lumora,11000,3,33000,0,33000,69977,102977
TX-000143,2022-05-23 09:53,C02009,Glue Stick UHU,Scriba,12000,2,24000,0,24000,56009,80009
TX-000144,2022-05-24 09:53,C02010,Glue Stick UHU,Papermark,12000,5,60000,3000,57000,28760,85760
TX-000145,2022-05-25 09:53,C02011,Pensil 2B,Flowline,5000,3,15000,1500,13500,46940,60440
TX-000146,2022-05-26 09:53,C02012,Stabilo Highlighter,Prograph,15000,5,75000,5250,69750,30669,100419
TX-000147,2022-05-27 09:53,C02013,Kertas HVS A4 70gsm 500lbr,Papirus,62000,1,62000,0,62000,20575,82575
TX-000148,2022-05-28 09:53,C02014,Cutter kecil,Papermark,10000,2,20000,1400,18600,58993,77593
TX-000149,2022-05-29 09:53,C02015,Stabilo Highlighter,Markify,15000,2,30000,1500,28500,34351,62851
TX-000150,2022-05-30 09:53,C02016,Stabilo Highlighter,NexWrite,15000,2,30000,0,30000,30980,60980
TX-000151,2022-05-31 09:53,C02017,Paper Clip Joyko,Officeo,7000,3,21000,0,21000,0,21000
TX-000152,2022-06-01 09:53,C02018,Pulpen Pilot 0.5,Lumo,12000,2,24000,0,24000,29947,53947
TX-000153,2022-06-02 09:53,C02019,Buku Tulis Sidu 38L,Flowline,4500,5,22500,4050,18450,6045,24495
TX-000154,2022-06-03 09:53,C02020,Map A4,Quillo,7000,3,21000,1470,19530,61144,80674
TX-000155,2022-06-04 09:53,C02021,Cutter kecil,Writex,10000,5,50000,0,50000,15941,65941
TX-000156,2022-06-05 09:53,C02022,Spidol Snowman,Pentagio,11000,5,55000,0,55000,25448,80448
TX-000157,2022-06-06 09:53,C02023,Amplop Putih,Writex,1200,4,4800,0,4800,66229,71029
TX-000158,2022-06-07 09:53,C02024,Map A4,Papirus,7000,2,14000,0,14000,27417,41417
TX-000159,2022-06-08 09:53,C02025,Spidol Snowman,Scriba,11000,3,33000,0,33000,68017,101017
TX-000160,2022-06-09 09:53,C02026,Kertas HVS A4 70gsm 500lbr,Flowline,62000,2,124000,0,124000,34739,158739
TX-000161,2022-06-10 09:53,C02027,Pulpen Pilot 0.5,Draftex,12000,3,36000,7200,28800,5540,34340
TX-000162,2022-06-11 09:53,C02028,Amplop Coklat F4,Notivo,2200,1,2200,0,2200,67084,69284
TX-000163,2022-06-12 09:53,C02029,Amplop Coklat F4,Quillo,2200,2,4400,0,4400,33266,37666
TX-000164,2022-06-13 09:53,C02030,Pulpen Pilot 0.5,Lumo,12000,5,60000,0,60000,25275,85275
TX-000165,2022-06-14 09:53,C02031,Pensil 2B,Quillo,5000,3,15000,1500,13500,37262,50762
TX-000166,2022-06-15 09:53,C02032,Stabilo Highlighter,Prograph,15000,3,45000,6750,38250,22598,60848
TX-000167,2022-06-16 09:53,C02033,Penggaris 30cm,Inklite,5000,4,20000,0,20000,6187,26187
TX-000168,2022-06-17 09:53,C02034,Map A4,Quillo,7000,3,21000,1050,19950,0,19950
TX-000169,2022-06-18 09:53,C02035,Stabilo Highlighter,Mepen,15000,5,75000,5250,69750,36521,106271
TX-000170,2022-06-19 09:53,C02036,Penghapus kecil,Lumo,3000,5,15000,2250,12750,0,12750
TX-000171,2022-06-20 09:53,C02037,Paper Clip Joyko,Notivo,7000,3,21000,0,21000,15754,36754
TX-000172,2022-06-21 09:53,C02038,Map A4,Quillo,7000,3,21000,0,21000,0,21000
TX-000173,2022-06-22 09:53,C02039,Amplop Coklat F4,Quillo,2200,4,8800,0,8800,6287,15087
TX-000174,2022-06-23 09:53,C02040,Binder A5,Graphen,28000,2,56000,0,56000,55965,111965
TX-000175,2022-06-24 09:53,C02041,Amplop Coklat F4,Artlinez,2200,1,2200,154,2046,0,2046
TX-000176,2022-06-25 09:53,C02042,Buku Tulis Sidu 38L,Statvio,4500,2,9000,0,9000,0,9000
TX-000177,2022-06-26 09:53,C02043,Spidol Snowman,Graphen,11000,3,33000,0,33000,22997,55997
TX-000178,2022-06-27 09:53,C02044,Kertas HVS A4 70gsm 500lbr,Markify,62000,5,310000,0,310000,59248,369248
TX-000179,2022-06-28 09:53,C02045,Kertas HVS A4 70gsm 500lbr,Scriba,62000,4,248000,12400,235600,0,235600
TX-000180,2022-06-29 09:53,C02046,Penghapus kecil,NexWrite,3000,5,15000,0,15000,33381,48381
TX-000181,2022-06-30 09:53,C02047,Pulpen Pilot 0.5,Markify,12000,2,24000,0,24000,20922,44922
TX-000182,2022-07-01 09:53,C02048,Penggaris 30cm,Pentagio,5000,4,20000,0,20000,0,20000
TX-000183,2022-07-02 09:53,C02049,Amplop Coklat F4,Flowline,2200,2,4400,0,4400,0,4400
TX-000184,2022-07-03 09:53,C02050,Binder A5,Papirus,28000,4,112000,0,112000,5543,117543
TX-000185,2022-07-04 09:53,C02051,Kertas HVS A4 70gsm 500lbr,Markify,62000,1,62000,0,62000,29316,91316
TX-000186,2022-07-05 09:53,C02052,Pensil 2B,Lumora,5000,5,25000,0,25000,34861,59861
TX-000187,2022-07-06 09:53,C02053,Amplop Coklat F4,Vectro,2200,4,8800,0,8800,58822,67622
TX-000188,2022-07-07 09:53,C02054,Penggaris 30cm,NexWrite,5000,5,25000,0,25000,20854,45854
TX-000189,2022-07-08 09:53,C02055,Penggaris 30cm,Scriba,5000,4,20000,1400,18600,0,18600
TX-000190,2022-07-09 09:53,C02056,Map A4,Pensta,7000,1,7000,0,7000,36003,43003
TX-000191,2022-07-10 09:53,C02057,Paper Clip Joyko,Quillo,7000,2,14000,2520,11480,41968,53448
TX-000192,2022-07-11 09:53,C02058,Pensil 2B,Inklite,5000,2,10000,0,10000,0,10000
TX-000193,2022-07-12 09:53,C02059,Pulpen Pilot 0.5,Flowline,12000,1,12000,0,12000,43674,55674
TX-000194,2022-07-13 09:53,C02060,Spidol Snowman,Scriba,11000,5,55000,0,55000,35712,90712
TX-000195,2022-07-14 09:53,C02061,Pulpen Pilot 0.5,Pentagio,12000,5,60000,0,60000,30877,90877
TX-000196,2022-07-15 09:53,C02062,Spidol Snowman,Quillo,11000,1,11000,0,11000,36576,47576
TX-000197,2022-07-16 09:53,C02063,Binder A5,Vectro,28000,5,140000,0,140000,0,140000
TX-000198,2022-07-17 09:53,C02064,Paper Clip Joyko,Writex,7000,5,35000,7000,28000,44959,72959
TX-000199,2022-07-18 09:53,C02065,Pulpen Pilot 0.5,Papermark,12000,4,48000,4800,43200,47416,90616
TX-000200,2022-07-19 09:53,C02066,Amplop Coklat F4,Notivo,2200,5,11000,0,11000,30595,41595
TX-000201,2022-07-20 09:53,C02067,Penggaris 30cm,Inklite,5000,4,20000,2000,18000,32962,50962
TX-000202,2022-07-21 09:53,C02068,Glue Stick UHU,Writex,12000,2,24000,0,24000,48456,72456
TX-000203,2022-07-22 09:53,C02069,Map A4,Quillo,7000,1,7000,0,7000,6206,13206
TX-000204,2022-07-23 09:53,C02070,Stabilo Highlighter,Pentagio,15000,3,45000,4500,40500,29513,70013
TX-000205,2022-07-24 09:53,C02071,Buku Tulis Sidu 38L,Draftex,4500,1,4500,0,4500,30836,35336
TX-000206,2022-07-25 09:53,C02072,Penghapus kecil,Inkspire,3000,1,3000,150,2850,5180,8030
TX-000207,2022-07-26 09:53,C02073,Amplop Coklat F4,Papermark,2200,5,11000,0,11000,0,11000
TX-000208,2022-07-27 09:53,C02074,Penghapus kecil,DraftLab,3000,3,9000,450,8550,5700,14250
TX-000209,2022-07-28 09:53,C02075,Penggaris 30cm,Writex,5000,1,5000,0,5000,67902,72902
TX-000210,2022-07-29 09:53,C02076,Spidol Snowman,Inkspire,11000,4,44000,8800,35200,21005,56205
TX-000211,2022-07-30 09:53,C02077,Binder A5,NexWrite,28000,1,28000,2800,25200,7699,32899
TX-000212,2022-07-31 09:53,C02078,Map A4,DraftLab,7000,2,14000,2800,11200,32319,43519
TX-000213,2022-08-01 09:53,C02079,Spidol Snowman,DraftLab,11000,4,44000,0,44000,53375,97375
TX-000214,2022-08-02 09:53,C02080,Stabilo Highlighter,Lumora,15000,1,15000,750,14250,0,14250
TX-000215,2022-08-03 09:53,C02081,Map A4,Lumora,7000,1,7000,0,7000,0,7000
TX-000216,2022-08-04 09:53,C02082,Penghapus kecil,Vectro,3000,3,9000,0,9000,28849,37849
TX-000217,2022-08-05 09:53,C02083,Paper Clip Joyko,Papirus,7000,2,14000,0,14000,63934,77934
TX-000218,2022-08-06 09:53,C02084,Buku Tulis Sidu 38L,Papermark,4500,5,22500,2250,20250,35777,56027
TX-000219,2022-08-07 09:53,C02085,Penggaris 30cm,Writex,5000,2,10000,1800,8200,0,8200
TX-000220,2022-08-08 09:53,C02086,Buku Tulis Sidu 38L,Papirus,4500,3,13500,0,13500,51884,65384
TX-000221,2022-08-09 09:53,C02087,Spidol Snowman,Papirus,11000,2,22000,0,22000,39561,61561
TX-000222,2022-08-10 09:53,C02088,Kalkulator Casio,Writex,175000,1,175000,21000,154000,0,154000
TX-000223,2022-08-11 09:53,C02089,Pensil 2B,Pensta,5000,3,15000,1500,13500,17551,31051
TX-000224,2022-08-12 09:53,C02090,Stabilo Highlighter,Notivo,15000,1,15000,0,15000,0,15000
TX-000225,2022-08-13 09:53,C02091,Glue Stick UHU,Markify,12000,3,36000,0,36000,44851,80851
TX-000226,2022-08-14 09:53,C02092,Amplop Putih,Markify,1200,1,1200,0,1200,34443,35643
TX-000227,2022-08-15 09:53,C02093,Amplop Coklat F4,Notivo,2200,5,11000,550,10450,33066,43516
TX-000228,2022-08-16 09:53,C02094,Buku Tulis Sidu 38L,Draftex,4500,3,13500,0,13500,24493,37993
TX-000229,2022-08-17 09:53,C02095,Amplop Putih,Quillo,1200,3,3600,252,3348,0,3348
TX-000230,2022-08-18 09:53,C02096,Kertas HVS A4 70gsm 500lbr,Lumo,62000,4,248000,74400,173600,56711,230311
TX-000231,2022-08-19 09:53,C02097,Amplop Putih,NexWrite,1200,4,4800,864,3936,63831,67767
TX-000232,2022-08-20 09:53,C02098,Paper Clip Joyko,Artlinez,7000,4,28000,2800,25200,0,25200
TX-000233,2022-08-21 09:53,C02099,Spidol Snowman,Quillo,11000,5,55000,11000,44000,67101,111101
TX-000234,2022-08-22 09:53,C02100,Paper Clip Joyko,Papirus,7000,4,28000,0,28000,7086,35086
TX-000235,2022-08-23 09:53,C02101,Binder A5,Draftex,28000,4,112000,0,112000,17353,129353
TX-000236,2022-08-24 09:53,C02102,Cutter kecil,Graphen,10000,5,50000,10000,40000,37324,77324
TX-000237,2022-08-25 09:53,C02103,Paper Clip Joyko,Artlinez,7000,5,35000,0,35000,0,35000
TX-000238,2022-08-26 09:53,C02104,Stabilo Highlighter,NexWrite,15000,1,15000,0,15000,57424,72424
TX-000239,2022-08-27 09:53,C02105,Kalkulator Casio,Statvio,175000,3,525000,0,525000,34531,559531
TX-000240,2022-08-28 09:53,C02106,Amplop Putih,Prograph,1200,1,1200,0,1200,0,1200
TX-000241,2022-08-29 09:53,C02107,Pulpen Pilot 0.5,Inkspire,12000,1,12000,0,12000,33452,45452
TX-000242,2022-08-30 09:53,C02108,Penghapus kecil,Graphen,3000,2,6000,300,5700,65300,71000
TX-000243,2022-08-31 09:53,C02109,Kalkulator Casio,Officeo,175000,3,525000,52500,472500,18221,490721
TX-000244,2022-09-01 09:53,C02110,Pulpen Pilot 0.5,Inkspire,12000,5,60000,0,60000,0,60000
TX-000245,2022-09-02 09:53,C02111,Amplop Coklat F4,Mepen,2200,2,4400,440,3960,0,3960
TX-000246,2022-09-03 09:53,C02112,Amplop Coklat F4,Pensta,2200,5,11000,1100,9900,0,9900
TX-000247,2022-09-04 09:53,C02113,Map A4,Writex,7000,4,28000,0,28000,34649,62649
